（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,松江市,53332014,120,152,
松江地区,松江市,53332015,104,132,
松江地区,松江市,53332016,108,137,
松江地区,松江市,53332017,109,138,
松江地区,松江市,53332018,110,140,
松江地区,松江市,53332019,112,142,
松江地区,松江市,53332020,120,153,
松江地区,松江市,53332021,124,158,
松江地区,松江市,53332022,122,155,
松江地区,松江市,53332023,120,153,
松江地区,松江市,53332024,119,151,
松江地区,松江市,53332025,104,132,
松江地区,松江市,53332026,104,132,
松江地区,松江市,53332027,110,140,
松江地区,松江市,53332028,109,139,
松江地区,松江市,53332029,116,148,
松江地区,松江市,53332030,124,158,
松江地区,松江市,53332031,123,156,
松江地区,松江市,53332032,122,155,
松江地区,松江市,53332033,120,152,
松江地区,松江市,53332034,108,137,
松江地区,松江市,53332035,98,125,
松江地区,松江市,53332036,99,126,
松江地区,松江市,53332037,101,128,
松江地区,松江市,53332038,110,140,
松江地区,松江市,53332039,124,157,
松江地区,松江市,53332040,122,155,
松江地区,松江市,53332041,122,155,
松江地区,松江市,53332042,122,155,
松江地区,松江市,53332043,114,145,
松江地区,松江市,53332044,109,139,
松江地区,松江市,53332045,98,125,
松江地区,松江市,53332046,99,126,
松江地区,松江市,53332047,101,128,
松江地区,松江市,53332048,114,145,
松江地区,松江市,53332049,122,155,
松江地区,松江市,53332050,122,－,
松江地区,松江市,53332051,122,－,
松江地区,松江市,53332052,121,154,
松江地区,松江市,53332053,121,154,
松江地区,松江市,53332054,110,140,
松江地区,松江市,53332055,99,126,
松江地区,松江市,53332056,100,127,
松江地区,松江市,53332057,101,128,
松江地区,松江市,53332058,107,136,
松江地区,松江市,53332059,113,144,
松江地区,松江市,53332062,116,148,
松江地区,松江市,53332063,116,148,
松江地区,松江市,53332064,113,144,
松江地区,松江市,53332065,104,132,
松江地区,松江市,53332066,109,138,
松江地区,松江市,53332067,107,136,
松江地区,松江市,53332068,129,－,
松江地区,松江市,53332069,123,156,
松江地区,松江市,53332072,120,－,
松江地区,松江市,53332073,113,144,
松江地区,松江市,53332074,114,145,
松江地区,松江市,53332075,116,147,
松江地区,松江市,53332076,115,146,
松江地区,松江市,53332077,114,145,
松江地区,松江市,53332078,129,164,
松江地区,松江市,53332079,119,151,
松江地区,松江市,53332083,120,－,
松江地区,松江市,53332084,120,152,
松江地区,松江市,53332085,116,147,
松江地区,松江市,53332086,116,148,
松江地区,松江市,53332087,120,152,
松江地区,松江市,53332088,131,166,
松江地区,松江市,53332089,125,159,
松江地区,松江市,53332093,120,－,
松江地区,松江市,53332094,114,145,
松江地区,松江市,53332095,114,145,
松江地区,松江市,53332096,116,147,
松江地区,松江市,53332097,120,153,
松江地区,松江市,53332098,120,153,
松江地区,松江市,53332099,131,166,
松江地区,松江市,53332100,115,146,
松江地区,松江市,53332102,122,－,
松江地区,松江市,53332103,122,－,
松江地区,松江市,53332104,122,－,
松江地区,松江市,53332105,122,－,
松江地区,松江市,53332110,116,148,
松江地区,松江市,53332115,122,－,
松江地区,松江市,53332120,115,146,
松江地区,松江市,53332121,112,142,
松江地区,松江市,53332124,122,－,
松江地区,松江市,53332125,122,－,
松江地区,松江市,53332130,116,147,
松江地区,松江市,53332131,112,143,
松江地区,松江市,53332132,116,148,
松江地区,松江市,53332133,122,－,
松江地区,松江市,53332134,113,144,
松江地区,松江市,53332135,120,152,
松江地区,松江市,53332140,121,154,
松江地区,松江市,53332141,118,150,
松江地区,松江市,53332142,122,155,
松江地区,松江市,53332143,113,144,
松江地区,松江市,53332144,119,151,
松江地区,松江市,53332145,124,158,
松江地区,松江市,53332150,119,151,
松江地区,松江市,53332151,117,149,
松江地区,松江市,53332152,123,156,
松江地区,松江市,53332153,124,158,
松江地区,松江市,53332154,125,159,
松江地区,松江市,53332155,131,167,
松江地区,松江市,53332156,127,161,
松江地区,松江市,53332160,118,150,
松江地区,松江市,53332161,124,157,
松江地区,松江市,53332162,119,151,
松江地区,松江市,53332163,124,158,
松江地区,松江市,53332164,127,161,
松江地区,松江市,53332165,122,155,
松江地区,松江市,53332166,123,156,
松江地区,松江市,53332167,123,156,
松江地区,松江市,53332168,128,163,
松江地区,松江市,53332169,123,156,
松江地区,松江市,53332170,124,158,
松江地区,松江市,53332171,124,157,
松江地区,松江市,53332172,117,149,
松江地区,松江市,53332173,120,152,
松江地区,松江市,53332174,121,154,
松江地区,松江市,53332175,123,156,
松江地区,松江市,53332176,117,149,
松江地区,松江市,53332177,122,155,
松江地区,松江市,53332178,116,147,
松江地区,松江市,53332179,116,148,
松江地区,松江市,53332180,120,152,
松江地区,松江市,53332181,124,－,
松江地区,松江市,53332182,124,－,
松江地区,松江市,53332183,124,－,
松江地区,松江市,53332184,124,－,
松江地区,松江市,53332185,112,142,
