（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
高知中央,須崎市,50331320,231,313,
高知中央,須崎市,50331321,230,311,
高知中央,須崎市,50331322,226,306,
高知中央,須崎市,50331323,224,304,
高知中央,須崎市,50331330,233,315,
高知中央,須崎市,50331331,230,312,
高知中央,須崎市,50331332,227,308,
高知中央,須崎市,50331333,227,308,
高知中央,須崎市,50331341,230,312,
高知中央,須崎市,50331342,230,312,
高知中央,須崎市,50331343,227,308,
高知中央,須崎市,50331352,231,313,
高知中央,須崎市,50331353,227,308,
高知中央,香南市,50332545,273,－,
高知中央,香南市,50332546,273,－,
高知中央,香南市,50332547,273,－,
高知中央,香南市,50332548,224,304,
高知中央,香南市,50332549,225,305,
高知中央,香南市,50332555,273,－,
高知中央,香南市,50332556,224,303,
高知中央,香南市,50332557,225,305,
高知中央,香南市,50332558,224,304,
高知中央,香南市,50332559,226,306,
高知中央,香南市,50332565,273,－,
高知中央,香南市,50332566,273,－,
高知中央,香南市,50332567,226,306,
高知中央,香南市,50332568,227,308,
高知中央,香南市,50332569,227,308,
高知中央,香南市,50332574,273,－,
高知中央,香南市,50332575,273,－,
高知中央,香南市,50332576,224,304,
高知中央,香南市,50332577,227,308,
高知中央,香南市,50332578,227,308,
高知中央,香南市,50332579,228,309,
高知中央,香南市,50332585,273,－,
高知中央,香南市,50332586,204,276,
高知中央,香南市,50332587,229,310,
高知中央,香南市,50332588,230,312,
高知中央,香南市,50332589,230,312,
高知中央,香南市,50332595,206,279,
高知中央,香南市,50332596,206,279,
高知中央,香南市,50332597,199,270,
高知中央,香南市,50332598,233,315,
高知中央,香南市,50332599,159,215,
高知中央,香南市,50332620,215,291,
高知中央,香南市,50332621,213,288,
高知中央,香南市,50332630,220,298,
高知中央,香南市,50332631,217,294,
高知中央,香南市,50332640,224,304,
高知中央,香南市,50332641,222,300,
高知中央,香南市,50332642,219,296,
高知中央,香南市,50332650,227,308,
高知中央,香南市,50332651,185,250,
高知中央,香南市,50332652,222,301,
高知中央,香南市,50332660,227,308,
高知中央,香南市,50332661,227,307,
高知中央,香南市,50332662,226,306,
高知中央,香南市,50332663,224,303,
高知中央,香南市,50332670,227,308,
高知中央,香南市,50332671,229,310,
高知中央,香南市,50332672,230,311,
高知中央,香南市,50332673,227,308,
高知中央,香南市,50332674,227,307,
高知中央,香南市,50332680,162,220,
高知中央,香南市,50332681,170,230,
高知中央,香南市,50332682,232,314,
高知中央,香南市,50332683,233,315,
高知中央,香南市,50332684,231,313,
高知中央,香南市,50332685,230,312,
高知中央,香南市,50332690,233,315,
高知中央,香南市,50332691,233,316,
高知中央,香南市,50332692,193,261,
高知中央,香南市,50332693,236,319,
高知中央,香南市,50332694,222,300,
