（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市安佐北区,51326419,86,117,
広島・呉,広島市安佐北区,51326420,87,118,
広島・呉,広島市安佐北区,51326421,87,118,
広島・呉,広島市安佐北区,51326422,87,118,
広島・呉,広島市安佐北区,51326423,86,117,
広島・呉,広島市安佐北区,51326424,86,117,
広島・呉,広島市安佐北区,51326425,87,118,
広島・呉,広島市安佐北区,51326426,87,118,
広島・呉,広島市安佐北区,51326427,86,117,
広島・呉,広島市安佐北区,51326428,86,117,
広島・呉,広島市安佐北区,51326429,86,117,
広島・呉,広島市安佐北区,51326430,86,117,
広島・呉,広島市安佐北区,51326431,87,118,
広島・呉,広島市安佐北区,51326432,86,117,
広島・呉,広島市安佐北区,51326433,86,117,
広島・呉,広島市安佐北区,51326434,86,117,
広島・呉,広島市安佐北区,51326435,87,118,
広島・呉,広島市安佐北区,51326436,87,118,
広島・呉,広島市安佐北区,51326437,88,119,
広島・呉,広島市安佐北区,51326438,87,118,
広島・呉,広島市安佐北区,51326439,86,117,
広島・呉,広島市安佐北区,51326440,87,118,
広島・呉,広島市安佐北区,51326441,87,118,
広島・呉,広島市安佐北区,51326442,87,118,
広島・呉,広島市安佐北区,51326443,86,117,
広島・呉,広島市安佐北区,51326444,86,117,
広島・呉,広島市安佐北区,51326445,86,117,
広島・呉,広島市安佐北区,51326446,88,119,
広島・呉,広島市安佐北区,51326447,88,120,
広島・呉,広島市安佐北区,51326448,87,118,
広島・呉,広島市安佐北区,51326449,86,117,
広島・呉,広島市安佐北区,51326450,88,119,
広島・呉,広島市安佐北区,51326451,88,120,
広島・呉,広島市安佐北区,51326452,88,120,
広島・呉,広島市安佐北区,51326453,87,118,
広島・呉,広島市安佐北区,51326454,86,117,
広島・呉,広島市安佐北区,51326455,86,117,
広島・呉,広島市安佐北区,51326456,88,119,
広島・呉,広島市安佐北区,51326457,87,118,
