（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
徳島・鳴門,北島町,51341464,185,－,
徳島・鳴門,藍住町,51341338,185,－,
徳島・鳴門,藍住町,51341339,185,－,
徳島・鳴門,藍住町,51341348,185,－,
徳島・鳴門,藍住町,51341349,185,－,
徳島・鳴門,藍住町,51341358,185,－,
徳島・鳴門,藍住町,51341359,185,－,
徳島・鳴門,藍住町,51341368,185,－,
徳島・鳴門,藍住町,51341369,185,－,
徳島・鳴門,藍住町,51341379,185,－,
徳島・鳴門,藍住町,51341440,185,－,
徳島・鳴門,藍住町,51341450,185,－,
徳島・鳴門,藍住町,51341451,185,－,
徳島・鳴門,藍住町,51341460,185,－,
徳島・鳴門,板野町,51341345,185,－,
徳島・鳴門,板野町,51341346,185,－,
徳島・鳴門,板野町,51341347,185,－,
徳島・鳴門,板野町,51341354,166,228,
徳島・鳴門,板野町,51341355,185,－,
徳島・鳴門,板野町,51341356,185,－,
徳島・鳴門,板野町,51341357,185,－,
徳島・鳴門,板野町,51341364,165,227,
徳島・鳴門,板野町,51341365,164,226,
徳島・鳴門,板野町,51341366,185,－,
徳島・鳴門,板野町,51341367,185,－,
徳島・鳴門,板野町,51341374,164,226,
徳島・鳴門,板野町,51341375,165,227,
徳島・鳴門,板野町,51341376,166,228,
徳島・鳴門,板野町,51341377,165,227,
徳島・鳴門,板野町,51341378,165,227,
徳島・鳴門,板野町,51341383,164,226,
徳島・鳴門,板野町,51341384,165,227,
徳島・鳴門,板野町,51341385,166,228,
徳島・鳴門,板野町,51341386,167,230,
徳島・鳴門,板野町,51341387,167,229,
徳島・鳴門,板野町,51341388,166,228,
徳島・鳴門,板野町,51341394,165,227,
徳島・鳴門,板野町,51341395,166,228,
徳島・鳴門,板野町,51341396,167,230,
徳島・鳴門,板野町,51341397,167,230,
徳島・鳴門,板野町,51341398,165,227,
徳島・鳴門,板野町,51342305,166,228,
徳島・鳴門,板野町,51342306,167,229,
徳島・鳴門,板野町,51342307,166,228,
徳島・鳴門,板野町,51342315,166,228,
徳島・鳴門,板野町,51342316,166,228,
徳島・鳴門,板野町,51342325,169,232,
美馬北部・阿北,吉野川市,50347186,159,219,
美馬北部・阿北,吉野川市,50347187,157,216,
美馬北部・阿北,吉野川市,50347188,153,210,
美馬北部・阿北,吉野川市,50347189,154,212,
美馬北部・阿北,吉野川市,50347196,162,222,
美馬北部・阿北,吉野川市,50347197,158,217,
美馬北部・阿北,吉野川市,50347198,154,211,
美馬北部・阿北,吉野川市,50347199,153,210,
美馬北部・阿北,吉野川市,50347280,156,215,
美馬北部・阿北,吉野川市,50347290,155,213,
美馬北部・阿北,吉野川市,50347291,157,216,
美馬北部・阿北,吉野川市,50347292,157,216,
美馬北部・阿北,吉野川市,51340105,158,217,
美馬北部・阿北,吉野川市,51340106,158,217,
美馬北部・阿北,吉野川市,51340107,156,215,
美馬北部・阿北,吉野川市,51340108,152,209,
美馬北部・阿北,吉野川市,51340109,151,208,
美馬北部・阿北,吉野川市,51340115,156,214,
美馬北部・阿北,吉野川市,51340116,155,213,
美馬北部・阿北,吉野川市,51340117,153,210,
美馬北部・阿北,吉野川市,51340118,151,207,
美馬北部・阿北,吉野川市,51340119,150,206,
美馬北部・阿北,吉野川市,51340125,153,210,
美馬北部・阿北,吉野川市,51340126,149,205,
美馬北部・阿北,吉野川市,51340127,148,203,
美馬北部・阿北,吉野川市,51340128,148,203,
美馬北部・阿北,吉野川市,51340129,148,203,
美馬北部・阿北,吉野川市,51340136,145,199,
美馬北部・阿北,吉野川市,51340137,143,197,
美馬北部・阿北,吉野川市,51340138,143,197,
美馬北部・阿北,吉野川市,51340139,143,196,
美馬北部・阿北,吉野川市,51340146,139,191,
美馬北部・阿北,吉野川市,51340147,139,191,
美馬北部・阿北,吉野川市,51340148,137,189,
美馬北部・阿北,吉野川市,51340149,137,189,
美馬北部・阿北,吉野川市,51340156,137,188,
美馬北部・阿北,吉野川市,51340157,135,186,
美馬北部・阿北,吉野川市,51340158,134,184,
美馬北部・阿北,吉野川市,51340159,134,184,
美馬北部・阿北,吉野川市,51340165,137,188,
美馬北部・阿北,吉野川市,51340166,134,184,
美馬北部・阿北,吉野川市,51340167,133,183,
美馬北部・阿北,吉野川市,51340168,132,181,
美馬北部・阿北,吉野川市,51340169,133,183,
美馬北部・阿北,吉野川市,51340175,135,185,
美馬北部・阿北,吉野川市,51340176,132,182,
美馬北部・阿北,吉野川市,51340177,131,180,
美馬北部・阿北,吉野川市,51340178,185,－,
美馬北部・阿北,吉野川市,51340179,131,180,
美馬北部・阿北,吉野川市,51340200,153,210,
美馬北部・阿北,吉野川市,51340201,155,213,
美馬北部・阿北,吉野川市,51340202,156,214,
美馬北部・阿北,吉野川市,51340203,155,213,
美馬北部・阿北,吉野川市,51340210,152,209,
美馬北部・阿北,吉野川市,51340211,154,212,
美馬北部・阿北,吉野川市,51340212,155,213,
美馬北部・阿北,吉野川市,51340213,154,212,
美馬北部・阿北,吉野川市,51340214,151,207,
美馬北部・阿北,吉野川市,51340215,148,203,
美馬北部・阿北,吉野川市,51340220,149,205,
美馬北部・阿北,吉野川市,51340221,152,209,
美馬北部・阿北,吉野川市,51340222,152,209,
美馬北部・阿北,吉野川市,51340223,153,210,
美馬北部・阿北,吉野川市,51340224,148,204,
美馬北部・阿北,吉野川市,51340225,145,199,
美馬北部・阿北,吉野川市,51340226,143,197,
美馬北部・阿北,吉野川市,51340230,143,196,
美馬北部・阿北,吉野川市,51340231,145,199,
美馬北部・阿北,吉野川市,51340232,146,200,
美馬北部・阿北,吉野川市,51340233,146,200,
美馬北部・阿北,吉野川市,51340234,143,197,
美馬北部・阿北,吉野川市,51340235,141,194,
美馬北部・阿北,吉野川市,51340236,142,195,
美馬北部・阿北,吉野川市,51340240,137,189,
美馬北部・阿北,吉野川市,51340241,140,192,
美馬北部・阿北,吉野川市,51340242,140,192,
美馬北部・阿北,吉野川市,51340243,140,192,
美馬北部・阿北,吉野川市,51340244,140,192,
美馬北部・阿北,吉野川市,51340245,140,192,
美馬北部・阿北,吉野川市,51340246,140,192,
美馬北部・阿北,吉野川市,51340247,141,194,
美馬北部・阿北,吉野川市,51340248,142,195,
美馬北部・阿北,吉野川市,51340249,144,198,
美馬北部・阿北,吉野川市,51340250,135,185,
美馬北部・阿北,吉野川市,51340251,135,186,
美馬北部・阿北,吉野川市,51340252,135,185,
美馬北部・阿北,吉野川市,51340253,135,186,
美馬北部・阿北,吉野川市,51340254,137,189,
美馬北部・阿北,吉野川市,51340255,139,191,
美馬北部・阿北,吉野川市,51340256,140,192,
美馬北部・阿北,吉野川市,51340257,140,193,
美馬北部・阿北,吉野川市,51340258,142,195,
美馬北部・阿北,吉野川市,51340259,143,196,
美馬北部・阿北,吉野川市,51340260,134,184,
美馬北部・阿北,吉野川市,51340261,135,185,
美馬北部・阿北,吉野川市,51340262,135,185,
美馬北部・阿北,吉野川市,51340263,135,186,
美馬北部・阿北,吉野川市,51340264,137,189,
美馬北部・阿北,吉野川市,51340265,140,193,
美馬北部・阿北,吉野川市,51340266,141,194,
美馬北部・阿北,吉野川市,51340267,140,193,
美馬北部・阿北,吉野川市,51340268,142,195,
美馬北部・阿北,吉野川市,51340269,143,196,
美馬北部・阿北,吉野川市,51340270,132,181,
美馬北部・阿北,吉野川市,51340271,134,184,
美馬北部・阿北,吉野川市,51340272,133,183,
美馬北部・阿北,吉野川市,51340273,185,－,
美馬北部・阿北,吉野川市,51340274,185,－,
美馬北部・阿北,吉野川市,51340275,140,193,
美馬北部・阿北,吉野川市,51340276,130,179,
美馬北部・阿北,吉野川市,51340277,140,193,
美馬北部・阿北,吉野川市,51340278,185,－,
